probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,num_males,num_mar
0.054,12,0,0,66.12841100575048,275.2637050735063,15.204990288484652,11,1.1,2.4602840566542135,102,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,9,0,500,71.82509205021067,251.68088802341288,36.575818211052905,0,0,0,102,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,7,500,0,73.68451227847936,246.39072558116968,36.67892947446804,12,1.2,2.093885280618419,102,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,12,500,500,71.21191551584076,242.59662248445431,46.31036970808345,0,0,0,102,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,9,1000,0,68.63910475031571,238.62719271331449,49.11790102192826,15,1.5000000000000002,2.168794261579063,102,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,10,1000,500,70.31768986994317,255.51693112978796,30.404679339607014,13,1.3,2.5788585357021883,102,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,8,1500,0,72.27056010536823,251.225297212992,36.65028710958869,0,0,0,102,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,5,1500,500,70.80852798019056,234.61195515695695,54.70770034281284,0,0,0,102,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,12,0,0,69.94706317641354,226.2838729832584,60.47127226802299,15,1.5000000000000002,1.858432204802358,103,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,8,0,500,70.18903275702701,254.71356963660793,30.694818300714296,21,2.1000000000000005,2.480953552649402,103,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,10,500,0,68.95796896398001,230.844048702411,60.40276001208991,0,0,0,103,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,14,500,500,76.21250642162113,225.9495276528322,55.044923078032944,10,1,1.8334868223605765,103,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,6,1000,0,69.46511283180321,241.5396983655549,49.03534944659843,0,0,0,103,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,9,1000,500,74.11165578160596,255.39753628015436,30.505398080816462,0,0,0,103,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,4,1500,0,69.63607781877204,238.009080253731,48.66628031082571,16,1.6000000000000003,2.2111189635407804,103,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,9,1500,500,74.05440855719942,243.429406713676,42.58681790731354,0,0,0,103,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,5,0,0,71.70114280424129,239.65727699794525,48.81118380107065,0,0,0,104,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,10,0,500,69.78482995894572,255.96430465319864,30.725081863750095,15,1.5000000000000002,2.149617707765494,104,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,10,500,0,71.16319114006896,254.2981755120048,30.29768931225505,21,2.1000000000000005,2.3676914640616196,104,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,12,500,500,68.18874518886597,230.87336612889527,61.12725632906795,0,0,0,104,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,13,1000,0,69.21522572911476,217.58379381964815,73.22706548863039,0,0,0,104,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,6,1000,500,70.97029007400641,267.52245303724646,18.1867285632285,10,1,2.400427889116554,104,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,9,1500,0,70.31900106262603,252.51441258931845,34.17896649933364,12,1.2,1.9197813145216376,104,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
